id,lot_frontage,lot_area,lot_shape,utilities,land_slope,neighborhood,overall_qual,overall_cond,year_built,year_remod/add,mas_vnr_area,exter_qual,exter_cond,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,total_bsmt_sf,heating_qc,central_air,electrical,1st_flr_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,misc_val,mo_sold,yr_sold,saleprice_log,ms_subclass_30,ms_subclass_40,ms_subclass_45,ms_subclass_50,ms_subclass_60,ms_subclass_70,ms_subclass_75,ms_subclass_80,ms_subclass_85,ms_subclass_90,ms_subclass_120,ms_subclass_160,ms_subclass_180,ms_subclass_190,street_Pave,land_contour_HLS,land_contour_Low,land_contour_Lvl,lot_config_CulDSac,lot_config_FR2,lot_config_FR3,lot_config_Inside,condition_1_Feedr,condition_1_Norm,condition_1_PosA,condition_1_PosN,condition_1_RRAe,condition_1_RRAn,condition_1_RRNe,condition_1_RRNn,condition_2_Norm,condition_2_PosA,bldg_type_2fmCon,bldg_type_Duplex,bldg_type_Twnhs,bldg_type_TwnhsE,house_style_1.5Unf,house_style_1Story,house_style_2.5Fin,house_style_2.5Unf,house_style_2Story,house_style_SFoyer,house_style_SLvl,roof_style_Gable,roof_style_Gambrel,roof_style_Hip,roof_style_Mansard,roof_style_Shed,roof_matl_Tar&Grv,roof_matl_WdShake,roof_matl_WdShngl,exterior_1st_AsphShn,exterior_1st_BrkComm,exterior_1st_BrkFace,exterior_1st_CemntBd,exterior_1st_HdBoard,exterior_1st_MetalSd,exterior_1st_Plywood,exterior_1st_Stucco,exterior_1st_VinylSd,exterior_1st_Wd Sdng,exterior_1st_WdShing,exterior_2nd_AsphShn,exterior_2nd_Brk Cmn,exterior_2nd_BrkFace,exterior_2nd_CBlock,exterior_2nd_CmentBd,exterior_2nd_HdBoard,exterior_2nd_ImStucc,exterior_2nd_MetalSd,exterior_2nd_Plywood,exterior_2nd_Stucco,exterior_2nd_VinylSd,exterior_2nd_Wd Sdng,exterior_2nd_Wd Shng,mas_vnr_type_BrkFace,mas_vnr_type_None,mas_vnr_type_Stone,foundation_CBlock,foundation_PConc,foundation_Slab,foundation_Stone,foundation_Wood,heating_GasW,heating_Grav,garage_type_Attchd,garage_type_Basment,garage_type_BuiltIn,garage_type_CarPort,garage_type_Detchd,sale_type_CWD,sale_type_Con,sale_type_ConLD,sale_type_ConLI,sale_type_ConLw,sale_type_New,sale_type_Oth,sale_type_WD 
1044,21.0,1680,4,4,3,1,6,5,1971,1971,232.0,3,3,3,3,1,5,387.0,1,483.0,3,1,5,483,987,0.0,0.0,1,1,2,1,3,4,8,0,1971.0,1,1.0,264.0,3,3,3,0,0,0,7,2008,11.35510137977666,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2752,64.0,7488,3,4,3,3,7,5,2005,2005,0.0,4,3,4,3,3,6,393.0,1,1208.0,5,1,5,1208,1208,0.0,0.0,2,0,2,1,4,6,8,0,2005.0,2,2.0,632.0,3,3,3,105,58,0,2,2006,12.120514757168527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
807,120.0,26400,4,4,3,2,5,7,1880,2007,0.0,4,3,0,0,0,0,0.0,0,0.0,5,1,5,1288,2016,0.0,0.0,1,0,4,1,3,7,5,1,1900.0,1,2.0,576.0,3,3,2,0,0,0,6,2009,11.782952602183288,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1177,24.0,2645,4,4,3,4,8,5,1999,2000,456.0,4,3,4,3,1,6,813.0,1,960.0,5,1,5,962,1607,1.0,0.0,2,1,3,1,4,7,8,0,2000.0,1,2.0,480.0,3,3,3,169,0,0,12,2008,12.206072645530176,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1480,74.0,9627,4,4,3,3,7,5,2007,2007,0.0,4,3,4,3,3,6,24.0,1,1351.0,5,1,5,1361,1361,0.0,0.0,2,0,3,1,4,6,8,0,2007.0,2,2.0,610.0,3,3,3,0,50,0,6,2008,12.170445467887022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
324,93.0,10114,4,4,3,2,5,5,2004,2005,0.0,3,3,5,3,3,1,0.0,1,1430.0,5,1,5,1430,1430,0.0,0.0,2,0,3,1,4,7,8,0,2004.0,2,2.0,624.0,3,3,3,0,0,0,3,2010,12.063932878369052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1311,34.0,4571,4,4,3,1,5,5,1916,1950,0.0,3,3,3,3,1,1,0.0,1,624.0,2,0,5,624,1344,0.0,0.0,1,0,4,1,3,7,8,0,1916.0,1,3.0,513.0,2,2,3,0,0,0,5,2008,11.492722757652713,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
770,80.0,8816,4,4,3,2,5,6,1963,1963,0.0,3,3,3,3,1,3,651.0,1,1121.0,3,1,5,1121,1121,1.0,0.0,1,0,3,1,3,5,8,0,1963.0,1,2.0,480.0,3,3,3,0,80,0,6,2009,11.842229212112827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2063,71.0,8197,4,4,3,2,6,5,1977,1977,148.0,3,3,3,3,1,1,0.0,1,660.0,5,1,5,1285,1285,0.0,0.0,1,1,3,1,3,7,8,1,1977.0,2,2.0,528.0,3,3,3,138,0,0,4,2007,11.874090314181814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
69,72.0,8640,4,4,3,4,7,5,2009,2009,0.0,3,3,4,3,2,6,24.0,1,756.0,5,1,5,764,1547,0.0,0.0,2,1,3,1,4,7,8,0,2009.0,1,2.0,614.0,3,3,3,169,45,0,6,2010,12.279323107269766,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2062,109.0,8724,4,4,3,2,5,5,1968,1968,0.0,3,3,4,3,1,4,492.0,1,894.0,4,1,5,894,894,0.0,0.0,1,0,3,1,3,5,8,1,1968.0,3,2.0,450.0,3,3,3,0,0,0,5,2007,11.767567683343811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
351,40.0,5664,3,4,3,4,8,5,2000,2000,0.0,4,3,4,3,1,6,1158.0,1,1501.0,5,1,5,1659,1659,1.0,0.0,2,0,2,1,5,5,8,1,2000.0,3,2.0,499.0,3,3,3,212,59,0,10,2009,12.535376392672775,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2393,103.0,12867,3,4,3,4,8,5,2005,2006,0.0,4,3,5,3,3,1,0.0,1,1209.0,5,1,5,1209,2253,0.0,0.0,2,1,3,1,5,8,8,1,2005.0,3,2.0,575.0,3,3,3,243,142,0,7,2006,12.748783489541204,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,68.87899941826643,7980,3,4,3,3,6,7,1992,2007,0.0,3,4,4,3,1,5,935.0,1,1168.0,5,1,5,1187,1187,1.0,0.0,2,0,3,1,3,6,8,0,1992.0,3,2.0,420.0,3,3,3,483,21,500,3,2010,12.128111104060464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2339,100.0,34650,4,4,3,3,5,5,1955,1955,0.0,3,3,3,3,2,3,1056.0,1,1056.0,3,0,5,1056,1056,1.0,0.0,1,0,3,1,3,5,8,0,1955.0,3,2.0,572.0,3,3,3,264,0,0,1,2006,11.884489021402711,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
624,92.0,10573,3,4,3,2,6,6,1961,1961,3.0,3,3,3,3,1,3,1312.0,1,1453.0,5,1,5,1453,1453,1.0,0.0,2,0,3,1,3,6,8,1,1961.0,2,2.0,530.0,3,3,3,0,49,0,4,2009,12.141534124392605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
86,65.0,8450,4,4,3,2,5,8,1965,2009,0.0,3,4,3,3,1,6,553.0,4,894.0,5,1,5,894,894,1.0,0.0,1,0,3,1,3,5,8,1,1973.0,1,1.0,336.0,3,3,3,416,144,0,4,2010,11.83862560460953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1534,68.87899941826643,11700,3,4,2,3,5,6,1937,1995,0.0,3,3,3,3,1,4,606.0,1,942.0,5,1,5,1265,1938,0.0,0.0,2,0,4,1,4,7,6,1,1937.0,1,1.0,240.0,3,3,3,0,40,0,7,2008,12.196022309676671,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2243,75.0,8250,4,4,3,1,5,6,1895,2006,0.0,3,4,3,3,1,1,0.0,1,957.0,2,0,5,1034,1991,0.0,0.0,2,0,4,2,3,9,8,0,0.0,0,0.0,0.0,0,0,1,0,0,0,6,2007,11.691908120498669,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1957,60.0,8064,4,4,3,2,5,7,1949,2006,0.0,3,4,3,3,2,1,0.0,1,672.0,5,1,5,672,924,0.0,0.0,1,0,3,1,3,6,8,1,2003.0,1,2.0,576.0,3,3,3,0,0,2000,7,2007,11.719126295554124,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
380,80.0,9600,4,4,3,3,8,5,1981,1981,0.0,4,3,4,3,1,5,1104.0,1,2524.0,3,1,5,2524,2524,1.0,0.0,2,1,4,1,4,9,8,1,1981.0,3,2.0,542.0,3,3,3,474,120,0,7,2009,12.535376392672775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2860,68.87899941826643,11435,3,4,2,3,8,7,1929,1950,0.0,3,3,4,3,1,1,0.0,1,792.0,2,1,5,792,1517,0.0,0.0,1,0,3,1,4,7,8,2,1931.0,1,2.0,400.0,3,3,3,0,0,0,6,2006,12.345834587905333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2517,30.0,9549,3,4,3,4,8,5,1995,1996,0.0,4,4,4,4,3,2,437.0,6,1494.0,5,1,5,1494,1494,1.0,0.0,1,1,2,1,5,6,8,1,1995.0,3,2.0,481.0,3,3,3,0,30,0,4,2006,12.506177237980511,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1933,60.0,10950,4,4,3,2,6,6,1952,1952,0.0,3,3,3,3,1,5,441.0,1,948.0,3,1,5,948,948,0.0,0.0,1,0,2,1,3,5,8,0,1952.0,1,2.0,410.0,3,3,1,0,48,0,4,2007,11.736069016284436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
