id,ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,misc_val,mo_sold,yr_sold,sale_type,saleprice_log
324,20,RL,93.0,10114,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,1430.0,GasA,Ex,Y,SBrkr,1430,1430,0.0,0.0,2,0,3,1,Gd,7,Typ,0,Attchd,2004.0,RFn,2.0,624.0,TA,TA,Y,0,0,0,3,2010,WD ,12.063932878369052
1311,70,RM,34.0,4571,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,624.0,GasA,Fa,N,SBrkr,624,1344,0.0,0.0,1,0,4,1,TA,7,Typ,0,Detchd,1916.0,Unf,3.0,513.0,Fa,Fa,Y,0,0,0,5,2008,COD,11.49272275765271
770,20,RL,80.0,8816,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,1121.0,GasA,TA,Y,SBrkr,1121,1121,1.0,0.0,1,0,3,1,TA,5,Typ,0,Detchd,1963.0,Unf,2.0,480.0,TA,TA,Y,0,80,0,6,2009,WD ,11.842229212112828
2063,20,RL,71.0,8197,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,660.0,GasA,Ex,Y,SBrkr,1285,1285,0.0,0.0,1,1,3,1,TA,7,Typ,1,Attchd,1977.0,RFn,2.0,528.0,TA,TA,Y,138,0,0,4,2007,WD ,11.874090314181814
69,60,FV,72.0,8640,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,756.0,GasA,Ex,Y,SBrkr,764,1547,0.0,0.0,2,1,3,1,Gd,7,Typ,0,Attchd,2009.0,Unf,2.0,614.0,TA,TA,Y,169,45,0,6,2010,Con,12.279323107269766
2062,20,RL,109.0,8724,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,894.0,GasA,Gd,Y,SBrkr,894,894,0.0,0.0,1,0,3,1,TA,5,Typ,1,Attchd,1968.0,Fin,2.0,450.0,TA,TA,Y,0,0,0,5,2007,WD ,11.76756768334381
351,120,RL,40.0,5664,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,1501.0,GasA,Ex,Y,SBrkr,1659,1659,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Attchd,2000.0,Fin,2.0,499.0,TA,TA,Y,212,59,0,10,2009,WD ,12.535376392672774
2393,60,RL,103.0,12867,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,1209.0,GasA,Ex,Y,SBrkr,1209,2253,0.0,0.0,2,1,3,1,Ex,8,Typ,1,Attchd,2005.0,Fin,2.0,575.0,TA,TA,Y,243,142,0,7,2006,New,12.748783489541202
12,20,RL,68.87899941826643,7980,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,1168.0,GasA,Ex,Y,SBrkr,1187,1187,1.0,0.0,2,0,3,1,TA,6,Typ,0,Attchd,1992.0,Fin,2.0,420.0,TA,TA,Y,483,21,500,3,2010,WD ,12.128111104060462
2339,190,RL,100.0,34650,Pave,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,1056.0,GasA,TA,N,SBrkr,1056,1056,1.0,0.0,1,0,3,1,TA,5,Typ,0,Attchd,1955.0,Fin,2.0,572.0,TA,TA,Y,264,0,0,1,2006,WD ,11.884489021402711
624,20,RL,92.0,10573,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,1453.0,GasA,Ex,Y,SBrkr,1453,1453,1.0,0.0,2,0,3,1,TA,6,Typ,1,Attchd,1961.0,RFn,2.0,530.0,TA,TA,Y,0,49,0,4,2009,WD ,12.141534124392603
86,20,RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,894.0,GasA,Ex,Y,SBrkr,894,894,1.0,0.0,1,0,3,1,TA,5,Typ,1,Detchd,1973.0,Unf,1.0,336.0,TA,TA,Y,416,144,0,4,2010,WD ,11.83862560460953
1534,50,RL,68.87899941826643,11700,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,942.0,GasA,Ex,Y,SBrkr,1265,1938,0.0,0.0,2,0,4,1,Gd,7,Min2,1,Detchd,1937.0,Unf,1.0,240.0,TA,TA,Y,0,40,0,7,2008,WD ,12.196022309676673
2243,190,C (all),75.0,8250,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,957.0,GasA,Fa,N,SBrkr,1034,1991,0.0,0.0,2,0,4,2,TA,9,Typ,0,NA,0.0,NA,0.0,0.0,NA,NA,N,0,0,0,6,2007,WD ,11.691908120498669
1957,50,RL,60.0,8064,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,672.0,GasA,Ex,Y,SBrkr,672,924,0.0,0.0,1,0,3,1,TA,6,Typ,1,Detchd,2003.0,Unf,2.0,576.0,TA,TA,Y,0,0,2000,7,2007,WD ,11.719126295554126
380,20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,Unf,2524.0,GasA,TA,Y,SBrkr,2524,2524,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Attchd,1981.0,Fin,2.0,542.0,TA,TA,Y,474,120,0,7,2009,WD ,12.535376392672774
2860,70,RL,68.87899941826643,11435,Pave,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,792.0,GasA,Fa,Y,SBrkr,792,1517,0.0,0.0,1,0,3,1,Gd,7,Typ,2,Detchd,1931.0,Unf,2.0,400.0,TA,TA,Y,0,0,0,6,2006,WD ,12.345834587905333
2517,120,RL,30.0,9549,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,437.0,GLQ,1494.0,GasA,Ex,Y,SBrkr,1494,1494,1.0,0.0,1,1,2,1,Ex,6,Typ,1,Attchd,1995.0,Fin,2.0,481.0,TA,TA,Y,0,30,0,4,2006,WD ,12.506177237980511
1933,20,RL,60.0,10950,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,441.0,Unf,948.0,GasA,TA,Y,SBrkr,948,948,0.0,0.0,1,0,2,1,TA,5,Typ,0,Detchd,1952.0,Unf,2.0,410.0,TA,TA,N,0,48,0,4,2007,WD ,11.736069016284437
820,20,RL,79.0,10637,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288.0,Unf,1705.0,GasA,Ex,Y,SBrkr,1718,1718,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Attchd,2007.0,RFn,3.0,826.0,TA,TA,Y,208,44,0,9,2009,WD ,12.601487417784837
675,20,RL,80.0,9000,Pave,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,Gd,TA,Gd,Unf,0.0,Unf,160.0,GasA,Fa,Y,SBrkr,1142,1142,0.0,0.0,1,0,2,1,TA,5,Typ,1,Basment,1958.0,RFn,1.0,384.0,TA,TA,Y,0,28,0,4,2009,WD ,11.639558115903595
2910,160,RM,41.0,2665,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,548.0,Rec,757.0,GasA,Ex,Y,SBrkr,925,1475,0.0,0.0,2,0,4,1,TA,6,Typ,1,Attchd,1977.0,RFn,1.0,336.0,TA,TA,Y,104,26,0,7,2006,WD ,11.751942365440728
21,20,RL,105.0,11751,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,1844.0,GasA,Ex,Y,SBrkr,1844,1844,0.0,0.0,2,0,3,1,TA,7,Typ,1,Attchd,1977.0,RFn,2.0,546.0,TA,TA,Y,0,122,0,1,2010,COD,12.154779351142624
1873,20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,ALQ,916.0,Unf,1242.0,GasA,Fa,Y,SBrkr,1242,1242,0.0,0.0,1,1,3,1,TA,6,Typ,1,Attchd,1973.0,Unf,2.0,528.0,TA,TA,Y,0,0,0,9,2007,WD ,12.075394321888057
2125,20,RL,60.0,8428,Pave,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,GLQ,420.0,Unf,990.0,GasA,Ex,Y,SBrkr,990,990,1.0,0.0,1,0,3,1,TA,5,Typ,0,Detchd,1995.0,Unf,1.0,384.0,TA,TA,Y,256,0,0,7,2007,WD ,11.891361900690473
1489,20,RL,75.0,9937,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,830.0,LwQ,1256.0,GasA,Gd,Y,SBrkr,1256,1256,1.0,0.0,1,1,3,1,TA,6,Typ,0,Attchd,1965.0,Fin,1.0,276.0,TA,TA,Y,736,68,0,6,2008,WD ,11.901583454762012
2383,20,RL,107.0,13891,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Ex,TA,PConc,Ex,Gd,Gd,GLQ,1386.0,Unf,2076.0,GasA,Ex,Y,SBrkr,2076,2076,1.0,0.0,2,1,2,1,Ex,7,Typ,1,Attchd,2006.0,Fin,3.0,850.0,TA,TA,Y,216,229,0,9,2006,New,13.049792684569493
983,85,RL,68.87899941826643,9101,Pave,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,Gd,TA,Av,GLQ,1097.0,Unf,1097.0,GasA,Ex,Y,SBrkr,1110,1110,1.0,0.0,1,0,1,1,Gd,4,Typ,1,Attchd,1978.0,Fin,2.0,602.0,TA,TA,Y,303,30,0,7,2009,WD ,12.016726473799254
1325,50,RM,81.0,12150,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,1050.0,GasA,Ex,N,FuseF,1050,1795,0.0,0.0,2,0,4,1,TA,7,Typ,0,Attchd,1954.0,Unf,1.0,352.0,Fa,TA,Y,0,0,0,11,2008,WD ,11.786762130599957
1378,20,RL,70.0,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,1040.0,GasA,Ex,Y,SBrkr,1040,1040,1.0,0.0,1,0,3,1,TA,5,Typ,0,Detchd,1965.0,Unf,1.0,384.0,TA,TA,Y,0,0,0,2,2008,WD ,11.771436160121729
1537,70,RL,100.0,9670,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,TA,Fa,No,LwQ,210.0,Unf,608.0,GasA,TA,Y,SBrkr,983,1873,0.0,0.0,1,1,4,1,TA,9,Typ,2,Detchd,1935.0,Fin,2.0,786.0,Fa,TA,Y,0,0,0,6,2008,WD ,12.45712704000522
905,50,RL,60.0,10998,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,408.0,BLQ,984.0,GasA,Ex,Y,SBrkr,984,1604,0.0,0.0,2,0,3,1,TA,6,Min2,0,Detchd,1977.0,Unf,2.0,660.0,TA,TA,Y,0,68,0,7,2009,WD ,11.669929213779893
1532,70,RL,60.0,7200,Pave,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,TA,Fa,BrkTil,Gd,TA,No,Unf,0.0,Unf,776.0,GasA,TA,Y,SBrkr,851,1502,0.0,0.0,1,1,3,1,TA,6,Typ,1,Attchd,1931.0,RFn,1.0,270.0,TA,TA,P,0,0,0,2,2008,WD ,11.911701584927597
132,20,RL,80.0,9920,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,TA,TA,CBlock,TA,TA,No,Rec,354.0,LwQ,1056.0,GasA,TA,Y,SBrkr,1063,1063,1.0,0.0,1,0,3,1,TA,6,Typ,0,Attchd,1954.0,RFn,1.0,280.0,TA,TA,Y,0,0,0,2,2010,WD ,11.759785542901755
1078,160,RL,36.0,2448,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,764.0,GasA,Ex,Y,SBrkr,764,1626,0.0,0.0,2,1,2,1,Gd,6,Typ,0,BuiltIn,2003.0,RFn,2.0,474.0,TA,TA,Y,0,27,0,10,2008,WD ,11.951180395901384
2511,160,FV,68.87899941826643,2998,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,Gd,TA,PConc,Gd,TA,No,GLQ,353.0,Unf,756.0,GasA,Ex,Y,SBrkr,768,1524,0.0,0.0,2,1,2,1,Gd,4,Typ,0,Detchd,2000.0,Unf,2.0,440.0,TA,TA,Y,0,32,0,6,2006,WD ,12.01974306733868
912,50,RL,65.0,7804,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,622.0,Unf,1122.0,GasA,TA,Y,SBrkr,1328,1981,1.0,0.0,2,0,4,1,Gd,7,Min2,2,Detchd,1981.0,Unf,2.0,576.0,TA,TA,Y,431,44,0,12,2009,WD ,11.813030057420567
2351,60,RL,80.0,16692,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,TA,TA,CBlock,Gd,TA,No,BLQ,790.0,LwQ,1392.0,GasA,TA,Y,SBrkr,1392,2784,1.0,0.0,3,1,5,1,Gd,12,Typ,2,Attchd,1978.0,RFn,2.0,564.0,TA,TA,Y,0,112,2000,7,2006,WD ,12.429216196844383
